player_person_id,player_person_currentTeam_name,player_person_fullName,player_stats_skaterStats_assists,player_stats_skaterStats_goals,side
8471817,New York Rangers,Ryan Reaves,0,0,away
8475735,New York Rangers,Greg McKegg,0,0,away
8476458,New York Rangers,Ryan Strome,0,0,away
8479328,New York Rangers,Julien Gauthier,0,0,away
8476624,New York Rangers,Barclay Goodrow,0,0,away
8476459,New York Rangers,Mika Zibanejad,1,0,away
8482109,New York Rangers,Alexis Lafrenière,0,0,away
8479324,New York Rangers,Ryan Lindgren,0,0,away
8476885,New York Rangers,Jacob Trouba,0,0,away
8475184,New York Rangers,Chris Kreider,0,1,away
8479333,New York Rangers,Libor Hajek,0,0,away
8479323,New York Rangers,Adam Fox,0,0,away
8481708,New York Rangers,Zac Jones,0,0,away
8478211,New York Rangers,Dryden Hunt,0,0,away
8480817,New York Rangers,K'Andre Miller,0,0,away
8480078,New York Rangers,Filip Chytil,0,0,away
8481554,New York Rangers,Kaapo Kakko,1,0,away
8479291,New York Rangers,Kevin Rooney,0,0,away
8476905,Vegas Golden Knights,Chandler Stephenson,1,0,home
8474149,Vegas Golden Knights,Evgenii Dadonov,1,0,home
8476539,Vegas Golden Knights,Jonathan Marchessault,0,2,home
8475913,Vegas Golden Knights,Mark Stone,0,1,home
8474565,Vegas Golden Knights,Alex Pietrangelo,0,0,home
8477018,Vegas Golden Knights,Ben Hutton,1,0,home
8477447,Vegas Golden Knights,Shea Theodore,0,0,home
8479639,Vegas Golden Knights,Dylan Coghlan,1,0,home
8477406,Vegas Golden Knights,Mattias Janmark,0,1,home
8476448,Vegas Golden Knights,William Karlsson,0,0,home
8475188,Vegas Golden Knights,Brayden McNabb,0,0,home
8478434,Vegas Golden Knights,Keegan Kolesar,1,0,home
8477478,Vegas Golden Knights,William Carrier,0,0,home
8479974,Vegas Golden Knights,Nolan Patrick,1,0,home
8480727,Vegas Golden Knights,Zach Whitecloud,0,0,home
8478462,Vegas Golden Knights,Nicolas Roy,1,0,home
8479353,Vegas Golden Knights,Brett Howden,0,1,home
8475191,Vegas Golden Knights,Reilly Smith,2,0,home
